"","X","Average.Pit.Stop","Hard","Medium","Soft","Super.soft","Ultra.soft","Hyper.soft","Wet","Intermediate","FirstPosition","SecondPosition","ThirdPosition","Started","Classified","Complete","Full.seasons.laps.led","Driver.s.season.laps.led","Accident","Penalties.due.to.driver","Penalties.due.to.team","No.action","Average.Pol.Pos","Finished"
"1","Brendon Hartley",1.23809523809524,0,0.202,0.178,0.307,0.258,0.054,0,0,0,0,0,21,16,2,0,0,2,4,8,0,15.57,"Lost"
"2","Carlos Sainz Jnr",1.38095238095238,0,0.18,0.314,0.214,0.24,0.047,0,0.005,0,0,8,21,19,9,0,0,1,4,2,2,10.24,"Lost"
"3","Charles Leclerc",1.19047619047619,0,0.167,0.262,0.344,0.175,0.049,0,0.003,0,0,0,21,16,7,0,0,3,0,2,2,12.33,"Lost"
"4","Daniel Ricciardo",1,0,0.112,0.333,0.304,0.192,0.059,0,0,116,45,91,21,13,12,0.0918,0.1122,1,2,6,1,8.14,"Lost"
"5","Esteban Ocon",1.04761904761905,0,0.086,0.406,0.291,0.158,0.06,0,0,0,0,0,21,15,9,0,0,3,4,2,2,10.14,"Lost"
"6","Fernando Alonso",1.14285714285714,0,0.225,0.453,0.164,0.134,0.019,0,0.004,0,0,0,21,15,5,0,0,2,6,2,1,13.19,"Lost"
"7","Kevin Magnussen",1.28571428571429,0,0.151,0.34,0.259,0.219,0.027,0,0.003,0,0,0,21,18,10,0,0,0,2,2,3,10.29,"Lost"
"8","Kimi Raikkonen",1.14285714285714,0,0.122,0.431,0.154,0.257,0.036,0,0,92,127,225,21,17,16,0.0728,0.0824,0,2,2,3,3.76,"Third"
"9","Lance Stroll",1.52380952380952,0,0.242,0.333,0.225,0.161,0.037,0,0.003,0,0,0,21,19,4,0,0,1,2,3,3,16.43,"Lost"
"10","Lewis Hamilton",1.19047619047619,0,0.174,0.388,0.243,0.174,0.022,0,0,458,270,218,21,20,19,0.3623,0.3649,0,2,1,1,2.71,"First"
"11","Marcus Ericsson",1.0952380952381,0,0.198,0.272,0.353,0.137,0.04,0,0,0,0,0,21,17,4,0,0,1,2,4,0,15.1,"Lost"
"12","Max Verstappen",1.19047619047619,0,0.055,0.4,0.346,0.125,0.072,0,0.002,169,168,343,21,18,16,0.1337,0.15,1,7,4,2,7.05,"Lost"
"13","Nico Hulkenberg",1,0,0.137,0.31,0.167,0.276,0.107,0,0.004,0,0,0,21,14,8,0,0,4,1,5,1,11.19,"Lost"
"14","Pierre Gasly",1.14285714285714,0,0.078,0.313,0.34,0.178,0.088,0.003,0,0,0,2,21,16,7,0,0,2,5,6,1,13.76,"Lost"
"15","Romain Grosjean",1.33333333333333,0,0.106,0.283,0.318,0.245,0.045,0,0.004,0,0,0,21,15,6,0,0,4,4,3,3,10.14,"Lost"
"16","Sebastian Vettel",1.33333333333333,0,0.099,0.393,0.213,0.27,0.024,0,0,345,244,198,21,20,19,0.2729,0.2764,1,4,0,3,2.86,"Second"
"17","Sergey Sirotkin",1.42857142857143,0,0.221,0.369,0.294,0.096,0.019,0,0,0,0,0,21,18,2,0,0,1,0,0,0,16.1,"Lost"
"18","Sergio Perez",1.33333333333333,0,0.048,0.46,0.309,0.134,0.05,0,0,0,0,12,21,19,11,0,0,0,0,0,0,11.1,"Lost"
"19","Stoffel Vandoorne",1.52380952380952,0,0.178,0.365,0.284,0.153,0.019,0,0,0,0,0,21,19,5,0,0,0,0,0,0,15.86,"Lost"
"20","Valtteri Bottas",1.28571428571429,0,0.186,0.303,0.315,0.162,0.034,0,0,84,410,167,21,20,17,0.0665,0.0699,0,0,0,0,4.05,"Lost"
